,on_trip_count,money_spent,taxi_free_rate,average_decline_rate,waiting_customers,highest_decline_rate,no_response_call,lowest_decline_rate,total_call,averange_speed,no_response_rate,finished_count,average_waiting_time
248,301.0,676075927.251,"(3341.0, 0.83525)",0.0,"(358, 0)",0.0,213.0,0.0,1255.0,11.816901473,0.169721115538,383.0,2247.56622517
249,301.0,676076061.519,"(3338.0, 0.8345)",0.0,"(361, 0)",0.0,213.0,0.0,1260.0,11.8651627104,0.169047619048,385.0,2252.68211921
250,300.0,676076116.83,"(3336.0, 0.834)",0.0,"(364, 0)",0.0,215.0,0.0,1265.0,11.811591504,0.169960474308,386.0,2252.79069767
251,301.0,676076138.466,"(3334.0, 0.8335)",0.0,"(365, 0)",0.0,218.0,0.0,1270.0,12.0729827521,0.171653543307,386.0,2257.79801325
252,302.0,676076239.72,"(3330.0, 0.8325)",0.0,"(368, 0)",0.0,219.0,0.0,1275.0,11.7169041948,0.171764705882,386.0,2262.82178218
253,305.0,676076325.471,"(3327.0, 0.83175)",0.0,"(368, 0)",0.0,220.0,0.0,1280.0,11.8529957089,0.171875,387.0,2280.29411765
254,303.0,676076385.552,"(3327.0, 0.83175)",0.0,"(370, 0)",0.0,222.0,0.0,1285.0,11.4742942803,0.172762645914,390.0,2281.03618421
255,306.0,676076461.238,"(3323.0, 0.83075)",0.0,"(371, 0)",0.0,222.0,0.0,1290.0,11.4809907664,0.172093023256,391.0,2297.39413681
256,306.0,676076580.674,"(3320.0, 0.83)",0.0,"(374, 0)",0.0,222.0,0.0,1295.0,11.7724490082,0.171428571429,393.0,2300.52117264
257,307.0,676076630.091,"(3319.0, 0.82975)",0.0,"(374, 0)",0.0,225.0,0.0,1300.0,11.8437014908,0.173076923077,394.0,2307.02922078
258,308.0,676076690.414,"(3318.0, 0.8295)",0.0,"(374, 0)",0.0,227.0,0.0,1305.0,11.1937828486,0.173946360153,396.0,2316.99029126
259,308.0,676076768.367,"(3316.0, 0.829)",0.0,"(376, 0)",0.0,228.0,0.0,1310.0,11.3288794057,0.174045801527,398.0,2318.93203883
260,308.0,676076839.552,"(3313.0, 0.82825)",0.0,"(379, 0)",0.0,229.0,0.0,1315.0,11.3006541248,0.174144486692,399.0,2320.04854369
261,309.0,676076883.859,"(3309.0, 0.82725)",0.0,"(382, 0)",0.0,230.0,0.0,1320.0,11.6294712887,0.174242424242,399.0,2325.19354839
262,309.0,676076955.191,"(3308.0, 0.827)",0.0,"(383, 0)",0.0,231.0,0.0,1325.0,11.2870411277,0.174339622642,402.0,2330.41935484
263,308.0,676077043.603,"(3305.0, 0.82625)",0.0,"(387, 0)",0.0,231.0,0.0,1330.0,11.6355183927,0.173684210526,404.0,2327.91262136
264,308.0,676077131.724,"(3304.0, 0.826)",0.0,"(388, 0)",0.0,232.0,0.0,1335.0,11.337283755,0.173782771536,407.0,2338.15533981
265,307.0,676077171.759,"(3303.0, 0.82575)",0.0,"(390, 0)",0.0,234.0,0.0,1340.0,11.0971496603,0.174626865672,409.0,2339.02597403
266,310.0,676077289.717,"(3299.0, 0.82475)",0.0,"(391, 0)",0.0,235.0,0.0,1345.0,11.3300131704,0.174721189591,409.0,2354.95176849
267,312.0,676077371.855,"(3294.0, 0.8235)",0.0,"(394, 0)",0.0,235.0,0.0,1350.0,11.1931773048,0.174074074074,409.0,2365.49520767
268,313.0,676077470.641,"(3292.0, 0.823)",0.0,"(395, 0)",0.0,235.0,0.0,1355.0,11.315442647,0.173431734317,412.0,2377.3089172
269,316.0,676077566.381,"(3289.0, 0.82225)",0.0,"(395, 0)",0.0,236.0,0.0,1360.0,11.2413287411,0.173529411765,413.0,2395.55205047
270,315.0,676077644.86,"(3287.0, 0.82175)",0.0,"(398, 0)",0.0,236.0,0.0,1365.0,11.1189184258,0.172893772894,416.0,2400.94936709
